semestre,Catalunya,sexe,edat,concepte,estat,valor
S2/1996,Catalunya,dones,de 0 a 15 anys,població,,475105
S2/1996,Catalunya,dones,de 16 a 64 anys,població,,2067769
S2/1996,Catalunya,dones,65 anys o més,població,,581354
S2/1996,Catalunya,dones,total,població,,3124228
S2/1996,Catalunya,total,de 0 a 15 anys,població,,972935
S2/1996,Catalunya,total,de 16 a 64 anys,població,,4138895
S2/1996,Catalunya,total,65 anys o més,població,,995533
S2/1996,Catalunya,total,total,població,,6107363
S1/1997,Catalunya,homes,de 0 a 15 anys,població,,490603
S1/1997,Catalunya,homes,de 16 a 64 anys,població,,2073817
S1/1997,Catalunya,homes,65 anys o més,població,,419440
S1/1997,Catalunya,homes,total,població,,2983860
S1/1997,Catalunya,dones,de 0 a 15 anys,població,,468098
S1/1997,Catalunya,dones,de 16 a 64 anys,població,,2070265
S1/1997,Catalunya,dones,65 anys o més,població,,587777
S1/1997,Catalunya,dones,total,població,,3126140
S1/1997,Catalunya,total,de 0 a 15 anys,població,,958701
S1/1997,Catalunya,total,de 16 a 64 anys,població,,4144082
S1/1997,Catalunya,total,65 anys o més,població,,1007217
S1/1997,Catalunya,total,total,població,,6110000
S2/1997,Catalunya,homes,de 0 a 15 anys,població,,485866
S2/1997,Catalunya,homes,de 16 a 64 anys,població,,2076893
S2/1997,Catalunya,homes,65 anys o més,població,,424668
S2/1997,Catalunya,homes,total,població,,2987427
S2/1997,Catalunya,dones,de 0 a 15 anys,població,,463366
S2/1997,Catalunya,dones,de 16 a 64 anys,població,,2072591
S2/1997,Catalunya,dones,65 anys o més,població,,594325
S2/1997,Catalunya,dones,total,població,,3130282
S2/1997,Catalunya,total,de 0 a 15 anys,població,,949232
S2/1997,Catalunya,total,de 16 a 64 anys,població,,4149484
S2/1997,Catalunya,total,65 anys o més,població,,1018993
S2/1997,Catalunya,total,total,població,,6117709
S1/1998,Catalunya,homes,de 0 a 15 anys,població,,481082
S1/1998,Catalunya,homes,de 16 a 64 anys,població,,2079994
S1/1998,Catalunya,homes,65 anys o més,població,,429928
S1/1998,Catalunya,homes,total,població,,2991004
S1/1998,Catalunya,dones,de 0 a 15 anys,població,,458630
S1/1998,Catalunya,dones,de 16 a 64 anys,població,,2074835
S1/1998,Catalunya,dones,65 anys o més,població,,600870
S1/1998,Catalunya,dones,total,població,,3134335
S1/1998,Catalunya,total,de 0 a 15 anys,població,,939712
S1/1998,Catalunya,total,de 16 a 64 anys,població,,4154829
S1/1998,Catalunya,total,65 anys o més,població,,1030798
S1/1998,Catalunya,total,total,població,,6125339
S2/1998,Catalunya,homes,de 0 a 15 anys,població,,478124
S2/1998,Catalunya,homes,de 16 a 64 anys,població,,2083596
S2/1998,Catalunya,homes,65 anys o més,població,,434621
S2/1998,Catalunya,homes,total,població,,2996341
S2/1998,Catalunya,dones,de 0 a 15 anys,població,,455063
S2/1998,Catalunya,dones,de 16 a 64 anys,població,,2078206
S2/1998,Catalunya,dones,65 anys o més,població,,606915
S2/1998,Catalunya,dones,total,població,,3140184
